ED_ID,Electoral Division Name (English),GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length
267160,TURNAPIN,Turnapain,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cea-13a3-e055-000000000001,717365.57,740807.88,943505.13,1,943505.1296,4732.251966
267034,BLANCHARDSTOWN-TYRRELSTOWN,Baile Bhlainséir-Baile an Tirialaigh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cdf-13a3-e055-000000000001,705543.55,741492.45,3927075.85,6,3927075.85,9876.548268
267035,BOHERNABREENA,Bóthar na Bruíne,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ce0-13a3-e055-000000000001,711258.06,720929.15,43938821.49,8,43938821.49,32370.05645
267091,GARRISTOWN,Baile Gháire,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d7d-13a3-e055-000000000001,707351.47,757206.45,35597702.89,47,35597702.89,31158.4058
268146,TERENURE C,Tír an Iúir C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1df2-13a3-e055-000000000001,713708.94,729864.27,707434.23,49,707434.2269,3581.171798
267120,SHANKILL-RATHMICHAEL,Seanchill-Ráth Michíl,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e17-13a3-e055-000000000001,723292.48,720693.86,14930285.88,59,14930285.88,19502.60581
268153,USHERS F,Cé Uiséir F,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e05-13a3-e055-000000000001,713263.14,733533.06,453161.07,73,453161.0745,3178.457801
267016,BALSCADDEN,Baile Scadán,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e35-13a3-e055-000000000001,716438.22,763100.43,15968025.17,98,15968025.17,24007.0981
267151,TEMPLEOGUE-LIMEKILN,Teach Mealóg-An Tiníl,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cd3-13a3-e055-000000000001,710941.12,729715.02,1076971.48,101,1076971.478,5598.870629
268070,GRACE PARK,Páirc na nGrás,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d71-13a3-e055-000000000001,717707.98,737504.08,1243434.09,109,1243434.094,4593.189134
268090,KIMMAGE A,Camaigh A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d99-13a3-e055-000000000001,712534.44,731545.59,274022.7,123,274022.6967,2160.323724
268032,CABRA EAST C,An Chabrach Thoir C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d2a-13a3-e055-000000000001,713926.84,735417.5,456536.25,124,456536.2484,3793.584569
267124,STILLORGAN-DEERPARK,Stigh Lorgan-Páirc na bhFianna,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ca0-13a3-e055-000000000001,718752.84,728690.21,1021339.64,126,1021339.64,4723.044123
267029,BLANCHARDSTOWN-COOLMINE,Baile Bhlainséir-Cúil Mhín,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cc7-13a3-e055-000000000001,706746.46,739255.98,2750740.13,127,2750740.133,6660.003689
267154,TEMPLEOGUE VILLAGE,Teach Mealóg,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cd6-13a3-e055-000000000001,713258.41,728938.45,513736.16,131,513736.161,3859.893168
268119,PRIORSWOOD C,Coill an Phrióra C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dca-13a3-e055-000000000001,720561.17,740676.28,889211.35,132,889211.3503,3996.377803
267022,BLACKROCK-GLENOMENA,An Charraig Dhubh-Gleann na Míne,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cc0-13a3-e055-000000000001,719140.49,730120.62,452309.4,135,452309.4001,3639.498173
268026,BEAUMONT F,Beaumont F,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d24-13a3-e055-000000000001,717712.93,738336.88,543379.29,148,543379.2865,3538.335099
267056,CLONSKEAGH-BELFIELD,Cluain Sceach-Belfield,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d19-13a3-e055-000000000001,718375.19,729995.45,1910627.76,150,1910627.765,6040.935891
268086,KILMORE C,An Choill Mhór C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d8e-13a3-e055-000000000001,719336.45,739648.4,530821.9,159,530821.898,3465.094379
268149,USHERS B,Cé Uiséir B,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1df5-13a3-e055-000000000001,714115.35,734154.7,270151.79,163,270151.7933,2251.617089
267006,BALLINASCORNEY,Buaile na Scornaí,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e23-13a3-e055-000000000001,706093.91,722629.6,24127531,171,24127531,25531.10718
267063,DALKEY-BULLOCK,Deilginis-Blóic,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d20-13a3-e055-000000000001,726081.85,727358.22,571291.78,175,571291.7843,3733.685503
