Statistic Label,Census Year,Garda District,Age,Sex,UNIT, VALUE 
Population,2011,Pearse Street,Age 0,Males,Number, 123 
Population,2011,Pearse Street,Age 0,Females,Number, 100 
Population,2011,Pearse Street,Age 1,Males,Number, 68 
Population,2011,Pearse Street,Age 1,Females,Number, 53 
Population,2011,Pearse Street,Age 2,Males,Number, 48 
Population,2011,Pearse Street,Age 2,Females,Number, 47 
Population,2011,Pearse Street,Age 3,Males,Number, 42 
Population,2011,Pearse Street,Age 3,Females,Number, 42 
Population,2011,Pearse Street,Age 4,Males,Number, 41 
Population,2011,Pearse Street,Age 4,Females,Number, 35 
Population,2011,Pearse Street,Age 5,Males,Number, 29 
Population,2011,Pearse Street,Age 5,Females,Number, 40 
Population,2011,Pearse Street,Age 6,Males,Number, 36 
Population,2011,Pearse Street,Age 6,Females,Number, 40 
Population,2011,Pearse Street,Age 7,Males,Number, 33 
Population,2011,Pearse Street,Age 7,Females,Number, 30 
Population,2011,Pearse Street,Age 8,Males,Number, 24 
Population,2011,Pearse Street,Age 8,Females,Number, 48 
Population,2011,Pearse Street,Age 9,Males,Number, 27 
Population,2011,Pearse Street,Age 9,Females,Number, 29 
Population,2011,Pearse Street,Age 10,Males,Number, 45 
Population,2011,Pearse Street,Age 10,Females,Number, 46 
Population,2011,Pearse Street,Age 11,Males,Number, 39 
Population,2011,Pearse Street,Age 11,Females,Number, 45 
Population,2011,Pearse Street,Age 12,Males,Number, 49 
Population,2011,Pearse Street,Age 12,Females,Number, 43 
Population,2011,Pearse Street,Age 13,Males,Number, 43 
Population,2011,Pearse Street,Age 13,Females,Number, 40 
Population,2011,Pearse Street,Age 14,Males,Number, 55 
Population,2011,Pearse Street,Age 14,Females,Number, 30 
Population,2011,Pearse Street,Age 15,Males,Number, 42 
Population,2011,Pearse Street,Age 15,Females,Number, 50 
Population,2011,Pearse Street,Age 16,Males,Number, 52 
Population,2011,Pearse Street,Age 16,Females,Number, 43 
Population,2011,Pearse Street,Age 17,Males,Number, 77 
Population,2011,Pearse Street,Age 17,Females,Number, 90 
Population,2011,Pearse Street,Age 18,Males,Number, 121 
Population,2011,Pearse Street,Age 18,Females,Number, 122 
Population,2011,Pearse Street,Age 19,Males,Number, 135 
Population,2011,Pearse Street,Age 19,Females,Number, 152 
Population,2011,Pearse Street,Age 20-24,Males,Number," 1,360 "
Population,2011,Pearse Street,Age 20-24,Females,Number," 1,639 "
Population,2011,Pearse Street,Age 25-29,Males,Number," 1,783 "
Population,2011,Pearse Street,Age 25-29,Females,Number," 1,725 "
Population,2011,Pearse Street,Age 30-34,Males,Number," 1,428 "
Population,2011,Pearse Street,Age 30-34,Females,Number," 1,299 "
Population,2011,Pearse Street,Age 35-39,Males,Number, 836 
Population,2011,Pearse Street,Age 35-39,Females,Number, 674 
Population,2011,Pearse Street,Age 40-44,Males,Number, 655 
Population,2011,Pearse Street,Age 40-44,Females,Number, 473 
Population,2011,Pearse Street,Age 45-49,Males,Number, 486 
Population,2011,Pearse Street,Age 45-49,Females,Number, 437 
Population,2011,Pearse Street,Age 50-54,Males,Number, 496 
Population,2011,Pearse Street,Age 50-54,Females,Number, 439 
Population,2011,Pearse Street,Age 55-59,Males,Number, 468 
Population,2011,Pearse Street,Age 55-59,Females,Number, 369 
Population,2011,Pearse Street,Age 60-64,Males,Number, 366 
Population,2011,Pearse Street,Age 60-64,Females,Number, 325 
Population,2011,Pearse Street,Age 65-69,Males,Number, 287 
Population,2011,Pearse Street,Age 65-69,Females,Number, 243 
