Statistic Label,Electoral Division,Year,UNIT, VALUE ,Electoral Division Name,COUNTY
Household median gross income,"001 Arran Quay A, Dublin City",2016,Euro,"40,293.00",ARRAN QUAY A,DUBLIN
Household median gross income,"002 Arran Quay B, Dublin City",2016,Euro,"40,554.00",ARRAN QUAY B,DUBLIN
Household median gross income,"003 Arran Quay C, Dublin City",2016,Euro,"48,005.00",ARRAN QUAY C,DUBLIN
Household median gross income,"004 Arran Quay D, Dublin City",2016,Euro,"40,641.00",ARRAN QUAY D,DUBLIN
Household median gross income,"005 Arran Quay E, Dublin City",2016,Euro,"41,733.00",ARRAN QUAY E,DUBLIN
Household median gross income,"006 Ashtown A, Dublin City",2016,Euro,"63,947.00",ASHTOWN A,DUBLIN
Household median gross income,"007 Ashtown B, Dublin City",2016,Euro,"62,947.00",ASHTOWN B,DUBLIN
Household median gross income,"008 Ayrfield, Dublin City",2016,Euro,"47,567.00",AYRFIELD,DUBLIN
Household median gross income,"009 Ballybough A, Dublin City",2016,Euro,"31,504.00",BALLYBOUGH A,DUBLIN
Household median gross income,"010 Ballybough B, Dublin City",2016,Euro,"34,109.00",BALLYBOUGH B,DUBLIN
Household median gross income,"011 Ballygall A, Dublin City",2016,Euro,"45,686.00",BALLYGALL A,DUBLIN
Household median gross income,"012 Ballygall B, Dublin City",2016,Euro,"38,455.00",BALLYGALL B,DUBLIN
Household median gross income,"013 Ballygall C, Dublin City",2016,Euro,"50,531.00",BALLYGALL C,DUBLIN
Household median gross income,"014 Ballygall D, Dublin City",2016,Euro,"48,264.00",BALLYGALL D,DUBLIN
Household median gross income,"015 Ballymun A, Dublin City",2016,Euro,"43,696.00",BALLYMUN A,DUBLIN
Household median gross income,"016 Ballymun B, Dublin City",2016,Euro,"32,891.00",BALLYMUN B,DUBLIN
Household median gross income,"017 Ballymun C, Dublin City",2016,Euro,"35,408.00",BALLYMUN C,DUBLIN
Household median gross income,"018 Ballymun D, Dublin City",2016,Euro,"29,001.00",BALLYMUN D,DUBLIN
Household median gross income,"019 Ballymun E, Dublin City",2016,Euro,"56,725.00",BALLYMUN E,DUBLIN
Household median gross income,"020 Ballymun F, Dublin City",2016,Euro,"51,818.00",BALLYMUN F,DUBLIN
Household median gross income,"021 Beaumont A, Dublin City",2016,Euro,"46,176.00",BEAUMONT A,DUBLIN
