STATISTIC,Statistic Label,TLIST(A1),Census Year,C04167V04938,Electoral Divisions,UNIT, VALUE 
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1ceb-13a3-e055-000000000001,"Arran Quay A, Dublin City",Number," 1,784.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cec-13a3-e055-000000000001,"Arran Quay B, Dublin City",Number," 5,529.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1ced-13a3-e055-000000000001,"Arran Quay C, Dublin City",Number," 4,646.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cee-13a3-e055-000000000001,"Arran Quay D, Dublin City",Number," 3,308.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cef-13a3-e055-000000000001,"Arran Quay E, Dublin City",Number," 3,377.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1cf0-13a3-e055-000000000001,"Ashtown A, Dublin City",Number," 12,094.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d03-13a3-e055-000000000001,"Ashtown B, Dublin City",Number," 2,843.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d04-13a3-e055-000000000001,"Ayrfield, Dublin City",Number," 5,863.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d05-13a3-e055-000000000001,"Ballybough A, Dublin City",Number," 4,004.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d06-13a3-e055-000000000001,"Ballybough B, Dublin City",Number," 4,184.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d08-13a3-e055-000000000001,"Ballygall A, Dublin City",Number," 3,602.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d09-13a3-e055-000000000001,"Ballygall B, Dublin City",Number," 1,930.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d07-13a3-e055-000000000001,"Ballygall C, Dublin City",Number," 3,646.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0a-13a3-e055-000000000001,"Ballygall D, Dublin City",Number," 2,526.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0b-13a3-e055-000000000001,"Ballymun A, Dublin City",Number," 5,735.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0c-13a3-e055-000000000001,"Ballymun B, Dublin City",Number," 4,273.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0d-13a3-e055-000000000001,"Ballymun C, Dublin City",Number," 5,729.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0e-13a3-e055-000000000001,"Ballymun D, Dublin City",Number," 2,551.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d0f-13a3-e055-000000000001,"Ballymun E, Dublin City",Number," 1,674.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d10-13a3-e055-000000000001,"Ballymun F, Dublin City",Number," 2,359.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d11-13a3-e055-000000000001,"Beaumont A, Dublin City",Number," 2,668.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d12-13a3-e055-000000000001,"Beaumont B, Dublin City",Number," 5,103.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d21-13a3-e055-000000000001,"Beaumont C, Dublin City",Number," 3,382.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d22-13a3-e055-000000000001,"Beaumont D, Dublin City",Number," 2,085.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d23-13a3-e055-000000000001,"Beaumont E, Dublin City",Number," 1,941.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d24-13a3-e055-000000000001,"Beaumont F, Dublin City",Number," 3,893.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d25-13a3-e055-000000000001,"Botanic A, Dublin City",Number," 3,331.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d26-13a3-e055-000000000001,"Botanic B, Dublin City",Number," 3,606.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d27-13a3-e055-000000000001,"Botanic C, Dublin City",Number," 2,362.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d28-13a3-e055-000000000001,"Cabra East A, Dublin City",Number," 5,910.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d29-13a3-e055-000000000001,"Cabra East B, Dublin City",Number," 3,746.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2a-13a3-e055-000000000001,"Cabra East C, Dublin City",Number," 4,239.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2b-13a3-e055-000000000001,"Cabra West A, Dublin City",Number," 1,441.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2c-13a3-e055-000000000001,"Cabra West B, Dublin City",Number," 2,646.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2d-13a3-e055-000000000001,"Cabra West C, Dublin City",Number," 2,883.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2e-13a3-e055-000000000001,"Cabra West D, Dublin City",Number," 2,816.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d31-13a3-e055-000000000001,"Carna, Dublin City",Number," 2,897.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d2f-13a3-e055-000000000001,"Chapelizod, Dublin City",Number," 3,397.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d30-13a3-e055-000000000001,"Cherry Orchard A, Dublin City",Number," 3,465.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d42-13a3-e055-000000000001,"Cherry Orchard C, Dublin City",Number," 4,815.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d43-13a3-e055-000000000001,"Clontarf East A, Dublin City",Number," 3,626.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d44-13a3-e055-000000000001,"Clontarf East B, Dublin City",Number," 7,204.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d45-13a3-e055-000000000001,"Clontarf East C, Dublin City",Number," 3,189.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d46-13a3-e055-000000000001,"Clontarf East D, Dublin City",Number," 2,859.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d47-13a3-e055-000000000001,"Clontarf East E, Dublin City",Number," 1,748.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d48-13a3-e055-000000000001,"Clontarf West A, Dublin City",Number," 3,758.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d49-13a3-e055-000000000001,"Clontarf West B, Dublin City",Number," 2,395.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4a-13a3-e055-000000000001,"Clontarf West C, Dublin City",Number," 4,130.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4b-13a3-e055-000000000001,"Clontarf West D, Dublin City",Number," 2,530.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4c-13a3-e055-000000000001,"Clontarf West E, Dublin City",Number," 2,483.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4d-13a3-e055-000000000001,"Crumlin A, Dublin City",Number," 3,657.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4e-13a3-e055-000000000001,"Crumlin B, Dublin City",Number," 3,019.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d4f-13a3-e055-000000000001,"Crumlin C, Dublin City",Number," 2,364.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d50-13a3-e055-000000000001,"Crumlin D, Dublin City",Number," 4,190.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d62-13a3-e055-000000000001,"Crumlin E, Dublin City",Number," 2,916.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d63-13a3-e055-000000000001,"Crumlin F, Dublin City",Number," 3,141.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d64-13a3-e055-000000000001,"Decies, Dublin City",Number," 2,713.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d65-13a3-e055-000000000001,"Drumcondra South A, Dublin City",Number," 5,923.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d66-13a3-e055-000000000001,"Drumcondra South B, Dublin City",Number," 1,889.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d67-13a3-e055-000000000001,"Drumcondra South C, Dublin City",Number," 3,337.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d68-13a3-e055-000000000001,"Drumfinn, Dublin City",Number," 3,632.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d69-13a3-e055-000000000001,"Edenmore, Dublin City",Number," 2,831.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6a-13a3-e055-000000000001,"Finglas North A, Dublin City",Number," 3,205.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6b-13a3-e055-000000000001,"Finglas North B, Dublin City",Number," 2,922.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6c-13a3-e055-000000000001,"Finglas North C, Dublin City",Number," 3,678.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6d-13a3-e055-000000000001,"Finglas South A, Dublin City",Number," 2,909.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6e-13a3-e055-000000000001,"Finglas South B, Dublin City",Number," 4,457.00 "
F1008C01,Total Population in county Dublin,2022,2022,2ae19629-1d6f-13a3-e055-000000000001,"Finglas South C, Dublin City",Number," 2,566.00 "
