FID,District_N,District_C,Division,Area_Sq_km,Area_Sq_Mi,Revised_YN,Revised_Da,Pop_by_Dis,Housholds_,Comments,FID_1,STATION_NA,DIVISION_H,ADDRESS,,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY,Shape_Leng,Shape__Area,Shape__Length,COUNTRY
1,Store Street,1800G,DMR North Central,6.817,2.632,YES,2019/11/28 00:00:00+00,22775,7994, ,255,STORE STREET,STORE STREET,"Store Street, Dublin 1",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Store-Street.html,316435,234757,716361,734784,-6.252246,53.350455,1,1,6668000,Division HQ,14465.29448,6845086.217,14465.29448,IRELAND
2,Pearse Street,1000F,DMR South Central,3.178,1.227,YES,2019/11/28 00:00:00+00,20034,6089, ,246,PEARSE STREET,KEVIN STREET,"Pearse Street, Dublin 2",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Pearse-Street.html,316180,234222,716106,734248,-6.256269,53.345702,1,1,6669000,District HQ,8082.520076,3191615.734,8082.520076,IRELAND
3,Bridewell Dublin,1870H,DMR North Central,2.998,1.158,YES,2019/11/28 00:00:00+00,24012,9919, ,127,BRIDEWELL,STORE STREET,Chancery Street,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Bridewell-Dublin.html,314987,234346,714913,734373,-6.27413,53.34708,0,1,6668200,District HQ,8416.877906,3038430.558,8416.877906,IRELAND
4,Granard,2470H,Mayo & Roscommon/Longford,562.905,217.339,YES,2019/11/28 00:00:00+00,16246,6042, ,416,GRANARD,CASTLEBAR,"Barrack Street, Granard, Co. Longford",,LONGFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Granard.html,233393,281099,633336,781115,-7.494222,53.778552,1,43,6687660,District HQ,163078.7917,565111105.1,163078.7917,IRELAND
5,Longford,2400G,Mayo & Roscommon/Longford,523.854,202.261,YES,2019/11/28 00:00:00+00,24609,9080, ,419,LONGFORD,CASTLEBAR,"Battery Road, Longford",,LONGFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Longford.html,213158,275874,613106,775892,-7.80138,53.73251,1,43,3350570,District HQ,146816.571,525885791.6,146816.571,IRELAND
6,Drogheda,2000A,Cavan/Monaghan & Louth,221.104,85.369,YES,2019/11/28 00:00:00+00,53538,18943, ,427,DROGHEDA,DROGHEDA,"Father Connolly Way, Drogheda, Co.",,LOUTH,https://www.garda.ie/en/Contact-Us/Station-Directory/Drogheda.html,308547,275168,708475,775185,-6.356643,53.715056,1,41,9874200,Division HQ,101783.7742,222031196.1,101783.7742,IRELAND
7,Navan,2270E,Meath/Westmeath,629.034,242.871,YES,2019/11/28 00:00:00+00,52317,17485, ,473,NAVAN,MULLINGAR,"Abbey Rd, Navan, Co.Meath",,MEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Navan.html,286636,267972,686569,767991,-6.690418,53.654517,1,46,9079930,District HQ,179394.2568,631606330.4,179394.2568,IRELAND
8,Kells,2100H,Meath/Westmeath,572.778,221.151,YES,2019/11/28 00:00:00+00,25346,8771, ,470,KELLS,MULLINGAR,"Fairgreen, Kells, Co. Meath",,MEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Kells.html,273892,275980,673827,775998,-6.881215,53.728408,1,46,9280820,District HQ,198578.1094,575077701.4,198578.1094,IRELAND
9,Mullingar,2300M,Meath/Westmeath,1173.653,453.15,YES,2019/11/28 00:00:00+00,53353,18770, ,24,MULLINGAR,MULLINGAR,"College Road, Mullingar, Co. Westmeath",,WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Mullingar.html,243426,253036,643368,753059,-7.345952,53.525701,1,44,9384000,Division HQ,212564.3534,1178245956,212564.3534,IRELAND
10,Athlone,2370A,Meath/Westmeath,698.107,269.541,YES,2019/11/28 00:00:00+00,41706,15089, ,14,ATHLONE,MULLINGAR,"Barrack Street, Athlone, Co. Westmeath",,WESTMEATH,https://www.garda.ie/en/Contact-Us/Station-Directory/Athlone.html,203723,241436,603673,741461,-7.944738,53.423248,1,90,6492600,District HQ,183867.9359,700789802.7,183867.9359,IRELAND
