Statistic Label,Electoral Division,Year,UNIT, VALUE ,Electoral Division Name,,,
Household median gross income,"001  Carlow Urban, Co. Carlow",2016,Euro,"28,511.00",CARLOW URBAN,1,CO. CARLOW,CARLOW
Household median gross income,"002 Graigue Urban, Co. Carlow",2016,Euro,"28,645.00",GRAIGUE URBAN,1,CO. CARLOW,CARLOW
Household median gross income,"003 Clonmore, Co. Carlow",2016,Euro,"52,789.00",CLONMORE,1,CO. CARLOW,CARLOW
Household median gross income,"004 Hacketstown, Co. Carlow",2016,Euro,"35,810.00",HACKETSTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"005 Haroldstown, Co. Carlow",2016,Euro,"42,365.00",HAROLDSTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"006 Kineagh, Co. Carlow",2016,Euro,"40,869.00",KINEAGH,1,CO. CARLOW,CARLOW
Household median gross income,"007 Rahill, Co. Carlow",2016,Euro,"46,181.00",RAHILL,1,CO. CARLOW,CARLOW
Household median gross income,"008 Rathvilly, Co. Carlow",2016,Euro,"33,833.00",RATHVILLY,1,CO. CARLOW,CARLOW
Household median gross income,"009 Tiknock, Co. Carlow",2016,Euro,"47,937.00",TIKNOCK,1,CO. CARLOW,CARLOW
Household median gross income,"010 Williamstown, Co. Carlow",2016,Euro,"46,926.00",WILLIAMSTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"011 Agha, Co. Carlow",2016,Euro,"51,626.00",AGHA,1,CO. CARLOW,CARLOW
Household median gross income,"012 Ballinacarrig (Part Urban), Co. Carlow",2016,Euro,"54,663.00",BALLINACARRIG (PART URBAN),1,CO. CARLOW,CARLOW
Household median gross income,"013 Ballintemple, Co. Carlow",2016,Euro,"48,895.00",BALLINTEMPLE,1,CO. CARLOW,CARLOW
Household median gross income,"014 Ballon, Co. Carlow",2016,Euro,"44,172.00",BALLON,1,CO. CARLOW,CARLOW
Household median gross income,"015 Ballyellin, Co. Carlow",2016,Euro,"43,107.00",BALLYELLIN,1,CO. CARLOW,CARLOW
Household median gross income,"016 Ballymoon, Co. Carlow",2016,Euro,"53,659.00",BALLYMOON,1,CO. CARLOW,CARLOW
Household median gross income,"017 Borris, Co. Carlow",2016,Euro,"35,540.00",BORRIS,1,CO. CARLOW,CARLOW
Household median gross income,"018 Burton Hall, Co. Carlow",2016,Euro,"67,335.00",BURTON HALL,1,CO. CARLOW,CARLOW
Household median gross income,"019 Carlow Rural (Part Urban), Co Carlow",2016,Euro,"39,774.00",CARLOW RURAL (PART URBAN),1,CO. CARLOW,CARLOW
Household median gross income,"020 Clogrenan, Co. Carlow",2016,Euro,"46,253.00",CLOGRENAN,1,CO. CARLOW,CARLOW
Household median gross income,"021 Clonegall, Co. Carlow",2016,Euro,"44,779.00",CLONEGALL,1,CO. CARLOW,CARLOW
Household median gross income,"022 Corries, Co. Carlow",2016,Euro,"44,033.00",CORRIES,1,CO. CARLOW,CARLOW
Household median gross income,"023 Cranemore, Co. Carlow",2016,Euro,"39,915.00",CRANEMORE,1,CO. CARLOW,CARLOW
Household median gross income,"024 Fennagh, Co. Carlow",2016,Euro,"42,981.00",FENNAGH,1,CO. CARLOW,CARLOW
Household median gross income,"025 Garryhill, Co. Carlow",2016,Euro,"43,594.00",GARRYHILL,1,CO. CARLOW,CARLOW
Household median gross income,"026 Grangeford, Co. Carlow",2016,Euro,"43,537.00",GRANGEFORD,1,CO. CARLOW,CARLOW
Household median gross income,"027 Johnstown, Co. Carlow",2016,Euro,"55,718.00",JOHNSTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"028 Kellistown, Co. Carlow",2016,Euro,"48,071.00",KELLISTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"029 Kilbride, Co. Carlow",2016,Euro,"50,372.00",KILBRIDE,1,CO. CARLOW,CARLOW
Household median gross income,"030 Killedmond, Co. Carlow",2016,Euro,"42,754.00",KILLEDMOND,1,CO. CARLOW,CARLOW
Household median gross income,"031 Killerrig, Co. Carlow",2016,Euro,"65,153.00",KILLERRIG,1,CO. CARLOW,CARLOW
Household median gross income,"032 Leighlinbridge, Co. Carlow",2016,Euro,"41,745.00",LEIGHLINBRIDGE,1,CO. CARLOW,CARLOW
Household median gross income,"033 Muinebeag (Bagenalstown) Rural, Co. Carlow",2016,Euro,"49,288.00",MUINEBEAG (BAGENALSTOWN) RURAL,1,CO. CARLOW,CARLOW
Household median gross income,"034 Muinebeag (Bagenalstown) Urban, Co. Carlow",2016,Euro,"33,154.00",MUINEBEAG (BAGENALSTOWN) URBAN,1,CO. CARLOW,CARLOW
Household median gross income,"035 Myshall, Co. Carlow",2016,Euro,"39,547.00",MYSHALL,1,CO. CARLOW,CARLOW
Household median gross income,"036 Nurney, Co. Carlow",2016,Euro,"52,226.00",NURNEY,1,CO. CARLOW,CARLOW
Household median gross income,"037 Oldleighlin, Co. Carlow",2016,Euro,"49,103.00",OLDLEIGHLIN,1,CO. CARLOW,CARLOW
Household median gross income,"038 Rathanna, Co. Carlow",2016,Euro,"37,172.00",RATHANNA,1,CO. CARLOW,CARLOW
Household median gross income,"039 Rathornan, Co. Carlow",2016,Euro,"44,360.00",RATHORNAN,1,CO. CARLOW,CARLOW
Household median gross income,"040 Rathrush, Co. Carlow",2016,Euro,"51,605.00",RATHRUSH,1,CO. CARLOW,CARLOW
Household median gross income,"041 Ridge, Co. Carlow",2016,Euro,"42,550.00",RIDGE,1,CO. CARLOW,CARLOW
Household median gross income,"042 Shangarry, Co. Carlow",2016,Euro,"53,731.00",SHANGARRY,1,CO. CARLOW,CARLOW
Household median gross income,"043 Sliguff, Co. Carlow",2016,Euro,"43,219.00",SLIGUFF,1,CO. CARLOW,CARLOW
Household median gross income,"044 Tankardstown, Co. Carlow",2016,Euro,"47,970.00",TANKARDSTOWN,1,CO. CARLOW,CARLOW
Household median gross income,"045 Templepeter, Co. Carlow",2016,Euro,"49,738.00",TEMPLEPETER,1,CO. CARLOW,CARLOW
Household median gross income,"046 Tullowbeg, Co. Carlow",2016,Euro,"52,697.00",TULLOWBEG,1,CO. CARLOW,CARLOW
Household median gross income,"047 Tullow Rural, Co. Carlow",2016,Euro,"48,750.00",TULLOW RURAL,1,CO. CARLOW,CARLOW
Household median gross income,"048 Tullow Urban, Co. Carlow",2016,Euro,"34,153.00",TULLOW URBAN,1,CO. CARLOW,CARLOW
Household median gross income,"049 Ballymurphy, Co. Carlow",2016,Euro,"39,222.00",BALLYMURPHY,1,CO. CARLOW,CARLOW
Household median gross income,"050 Coonogue, Co. Carlow",2016,Euro,"35,030.00",COONOGUE,1,CO. CARLOW,CARLOW
Household median gross income,"051 Glynn, Co. Carlow",2016,Euro,"43,215.00",GLYNN,1,CO. CARLOW,CARLOW
Household median gross income,"052 Kyle, Co. Carlow",2016,Euro,"44,643.00",KYLE,1,CO. CARLOW,CARLOW
Household median gross income,"053 Marley, Co. Carlow",2016,Euro,"42,746.00",MARLEY,1,CO. CARLOW,CARLOW
Household median gross income,"054 Tinnahinch, Co. Carlow",2016,Euro,"32,685.00",TINNAHINCH,1,CO. CARLOW,CARLOW
Household median gross income,"001 Arran Quay A, Dublin City",2016,Euro,"40,293.00",ARRAN QUAY A,1,DUBLIN CITY,DUBLIN
Household median gross income,"002 Arran Quay B, Dublin City",2016,Euro,"40,554.00",ARRAN QUAY B,1,DUBLIN CITY,DUBLIN
Household median gross income,"003 Arran Quay C, Dublin City",2016,Euro,"48,005.00",ARRAN QUAY C,1,DUBLIN CITY,DUBLIN
Household median gross income,"004 Arran Quay D, Dublin City",2016,Euro,"40,641.00",ARRAN QUAY D,1,DUBLIN CITY,DUBLIN
Household median gross income,"005 Arran Quay E, Dublin City",2016,Euro,"41,733.00",ARRAN QUAY E,1,DUBLIN CITY,DUBLIN
Household median gross income,"006 Ashtown A, Dublin City",2016,Euro,"63,947.00",ASHTOWN A,1,DUBLIN CITY,DUBLIN
Household median gross income,"007 Ashtown B, Dublin City",2016,Euro,"62,947.00",ASHTOWN B,1,DUBLIN CITY,DUBLIN
Household median gross income,"008 Ayrfield, Dublin City",2016,Euro,"47,567.00",AYRFIELD,1,DUBLIN CITY,DUBLIN
Household median gross income,"009 Ballybough A, Dublin City",2016,Euro,"31,504.00",BALLYBOUGH A,1,DUBLIN CITY,DUBLIN
Household median gross income,"010 Ballybough B, Dublin City",2016,Euro,"34,109.00",BALLYBOUGH B,1,DUBLIN CITY,DUBLIN
Household median gross income,"011 Ballygall A, Dublin City",2016,Euro,"45,686.00",BALLYGALL A,1,DUBLIN CITY,DUBLIN
